id,name,road,type,length_m,vehicle_count
798,,N1,Bridge,294.15,114
1518,,N2,Bridge,428.91,103
1541,,N2,Bridge,79.75,95
1018,,N1,Bridge,61.3,73
1483,,N2,Bridge,141.61,70
666,,N1,Bridge,211.3,69
1589,,N2,Bridge,202.55,67
643,,N1,Bridge,50.8,67
1422,,N2,Bridge,69.5,66
1373,,N2,Bridge,72.15,64
192,,N1,Bridge,22.85,62
212,,N1,Bridge,27.35,62
239,,N1,Bridge,19.2,61
16,,N1,Bridge,397.0,59
226,,N1,Bridge,22.88,58
1449,,N2,Bridge,105.15,57
565,,N1,Link,8309.0,57
1363,,N2,Link,1000.0,55
205,,N1,Bridge,27.9,54
1360,,N2,Bridge,19.0,52
1476,,N2,Bridge,17.75,51
1041,,N1,Bridge,50.6,50
309,,N1,Bridge,14.2,49
606,,N1,Bridge,50.8,43
237,,N1,Link,1000.0,42
950,,N1,Bridge,10.0,41
1540,,N2,Bridge,3.15,41
617,,N1,Bridge,60.5,41
1627,,N2,Bridge,68.09,41
1124,,N1,Bridge,13.0,40
224,,N1,Link,1000.0,39
1561,,N2,Link,985.0,38
1386,,N2,Link,1000.0,38
1535,,N2,Bridge,3.1,37
1004,,N1,Bridge,49.3,37
240,,N1,Link,917.0,37
839,,N1,Bridge,60.03,37
1458,,N2,Link,969.0,37
1507,,N2,Link,1000.0,37
221,,N1,Link,898.0,36
1122,,N1,Bridge,6.4,36
1436,,N2,Bridge,14.1,36
209,,N1,Link,1008.0,36
931,,N1,Bridge,136.3,35
781,,N1,Bridge,45.0,35
769,,N1,Bridge,56.2,35
216,,N1,Link,1000.0,34
278,,N1,Bridge,6.1,34
1485,,N2,Bridge,40.6,34
1496,,N2,Link,629.0,34
1181,,N1,Bridge,31.7,34
1500,,N2,Bridge,11.5,34
1166,,N1,Bridge,30.9,34
996,,N1,Bridge,45.6,34
210,,N1,Link,1027.0,34
1551,,N2,Link,940.0,33
1579,,N2,Bridge,43.88,33
1111,,N1,Bridge,12.3,33
190,,N1,Link,1000.0,32
836,,N1,Bridge,54.03,32
1401,,N2,Link,909.0,32
389,,N1,Bridge,12.4,32
1191,,N1,Bridge,32.1,32
1553,,N2,Link,926.0,32
303,,N1,Link,1000.0,32
267,,N1,Bridge,2.6,32
1000,,N1,Bridge,11.2,32
1407,,N2,Link,1020.0,31
1114,,N1,Bridge,15.2,31
1432,,N2,Bridge,3.5,31
232,,N1,Link,1000.0,31
1522,,N2,Bridge,6.0,31
1531,,N2,Link,934.0,31
199,,N1,Link,980.0,31
251,,N1,Bridge,6.3,30
1420,,N2,Link,808.0,30
1516,,N2,Bridge,7.3,30
1565,,N2,Link,950.0,30
188,,N1,Link,1000.0,30
279,,N1,Link,865.0,30
1130,,N1,Bridge,12.8,30
1207,,N1,Bridge,45.6,30
215,,N1,Link,799.0,29
254,,N1,Link,1000.0,29
1501,,N2,Link,890.0,29
1103,,N1,Bridge,58.0,29
573,,N1,Bridge,116.5,29
1393,,N2,Link,990.0,29
1090,,N1,Bridge,15.4,29
941,,N1,Bridge,8.1,29
271,,N1,Bridge,14.3,29
1174,,N1,Bridge,11.8,28
1968,,N2,Bridge,282.35,28
958,,N1,Bridge,22.0,28
1212,,N1,Bridge,12.5,28
198,,N1,Link,1000.0,28
962,,N1,Bridge,2.9,28
1173,,N1,Bridge,9.4,27
245,,N1,Link,547.0,27
1239,,N1,Bridge,37.2,27
